Group,Sample ID,Height,87/86Sr,rsInternal Precision,Stable Sr,ssInternal Precision,44/40Ca,Internal Precision,d13c,d18o,ppm in rock,Na,Mg,Al ,K,Ca,Ti,Mn,Rb,Sr,Ba,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap,Blk-1,,,,,,,,,,,,,,,,,,,,, , , , , 
CuCap,MM1,316.10,0.70663,0.000008,0.472,0.0081,-0.3043,0.02387,7.743,-5.785,,120.326,4696.25,49.5052,28.4884,250435.52,816.6828,21.5548,0.12215,1464.0284,57.6848, ,51.74, , , 
CuCap,MM2,275.10,0.70649,0.000006,0.356,0.0066,,,5.929,-2.339,,208.5199,2944.43,59.7724,31.9996,387789.34,1174.2086,36.3579,0.08196,1506.2233,67.288,31.18,27.03,4.15,26.72, 
CuCap,MM3,287.90,0.70652,0.000005,0.465,0.0081,-0.75413,0.02029,5.569,-5.855,,92.701,2038.25,706.1366,151.1706,223712,404.528,115.1287,2.02083,2042.9687,22.1986,32.92,30.16,2.76,24.64, 
CuCap,MM4,218.30,0.70670,0.000007,0.182,0.0084,,,-2.182,-2.351,,87.7392,52147.85,629.9819,144.3273,161547.15,381.5915,110.9676,2.08385,1998.963,6.1964, ,-17.56, , ,767.96
CuCap,MM5,187.50,0.70883,0.000006,0.230,0.0068,-1.134616,0.02232,-3.177,-5.815,,292.959,8017.17,118.1565,131.7703,253089.39,874.8704,469.7801,0.64873,440.5019,8.6155,27.01,2.77,24.24,139.94,351.28
CuCap,MM6,319.00,0.70665,0.000007,0.448,0.0074,,,7.949,-5.264,,126.8556,41856.76,77.9585,20.2164,301748.39,846.3444,31.2161,0.05544,2010.4619,9.8268,40.15,30.87,9.28,57.52,42.69
CuCap,MM7,293.40,0.70656,0.000006,,,,,4.414,-6.089,,152.4981,3517.92,40.6743,25.892,406070.32,1211.3974,22.1633,0.06049,789.6324,2.2504,31.95,32.80,-0.85, , 
CuCap,MM8,310.10,0.70666,0.000006,0.474,0.0079,,,7.637,-5.897,,144.3024,6334.61,65.5548,33.7209,317036.94,980.1654,23.0005,0.19447,1475.3599,9.7357,46.49,50.45,-3.96,72.89, 
CuCap,MM9,228.90,0.70666,0.000006,0.270,0.0090,,,0.127,-3.649,,128.6613,45902.75,2263.8095,1203.8438,296959.28,288.5469,530.8148,6.55133,108.0097,10.086,35.16,22.73,12.43,37.13,137.56
CuCap,MM10,289.90,0.70665,0.000006,0.415,0.0075,,,6.433,-5.593,,128.456,3612.59,89.5883,63.395,405064.09,1327.9258,30.0532,0.19907,843.969,3.119,30.88,31.54,-0.66,31.81, 
