Group,Sample ID,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,ssWheel Number,ssDate,ssSample mass for analysis,ssSpike mass for analysis,,Stable Sr,ssInternal Precision,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,CaSample mass for analysis (g) ,Ca spike mass (g),thru columns w Tia,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Ca ppm,Sr ppm ,Mg ppm,Mn ppb,Rb ppb,d13c,d18o,δSsulfate34,δSpyrite34,ΔS34,[CAS],FeS2- S
CuCap,MM1,316.1,,,W688,8/21/18,,0.70663,0.000008,,,,,,,,,,W836,7/15/2019,,,,0.472,0.0080500,W816,6/7/19,0.4719076,0.008049118,,,,,0.0737,0.57576,,922,10/29/20,-0.269,0.02387,,,,,,,,,,,,250435.52,1254.49,4696.25,21.55,0.12,7.74,-5.79,,51.74,,,
CuCap,MM2,275.1,,,W688,8/21/18,,0.70649,0.000006,,,,,,,,,,W745,12/12/2018,,,,0.356,0.0066410,,,,,,,,,0.08845,0.59795,,986,8/3/2021,-0.887,0.02219,,,,,,,,,,,,387789.34,1383.95,2944.43,36.36,0.08,5.93,-2.34,31.18,27.03,4.15,26.72,
CuCap,MM3,287.9,,,W688,8/21/18,,0.70652,0.000005,,,,,,,,,,W745,12/12/2018,,,,0.465,0.0080730,,,,,,,,,0.05282,0.59023,,922,10/29/20,-0.718,0.02029,,,,,,,,,,,,223712.00,463.96,2038.25,115.13,2.02,5.57,-5.86,32.92,30.16,2.76,24.64,
CuCap,MM4,218.3,,8/1/19,W688,8/21/18,,0.70670,0.000007,,,,,,,,,,W863_W864_W865,9/16/2019,0.14128,0.59125,,0.182,0.0084140,W816,6/7/19,0.2079268,0.007646507,W887,3/16/20,0.19577778,0.00770047,0.13419,0.58501,,980,7/8/21,-0.520,0.02327,,986,8/3/21,-0.51118,0.02248,,,,,,,161547.15,1864.59,52147.85,110.97,2.08,-2.18,-2.35,,-17.56,,,767.96
CuCap,MM5,187.5,,,W688,8/21/18,,0.70883,0.000006,,,,,,,,,,W836,7/15/2019,,,,0.230,0.0068410,W816,6/7/19,0.2399471,0.008064656,,,,,0.06658,0.6123,,922,10/29/2020,-1.099,0.02232,,,,,,,,,,,,253089.39,360.41,8017.17,469.78,0.65,-3.18,-5.82,27.01,2.77,24.24,139.94,351.28
CuCap,MM6,319,,8/6/19,W688,8/21/18,,0.70665,0.000007,,,,,,,,,,W863_W864_W865,9/16/19,0.11602,0.64417,,0.448,0.0074310,W889,4/10/20,0.47015769,0.007627,,,,,0.05601,0.58042,,986,8/3/2021,-0.550,0.02323,,,,,,,,,,,,301748.39,1787.48,41856.76,31.22,0.06,7.95,-5.26,40.15,30.87,9.28,57.52,42.69
CuCap,MM7,293.4,,8/6/19,W688,8/21/18,,0.70656,0.000006,,,,,,,,,,,,0.40822,0.63094,,,,,,,,,,,,0.05122,0.62468,,953,2/24/2021,-0.712,0.02114,,957,3/18/21,12/29/99,12/30/99,,,,,,,406070.32,718.16,3517.92,22.16,0.06,4.41,-6.09,31.95,32.80,-0.85,,
CuCap,MM8,310.1,,,W688,8/21/18,,0.70666,0.000006,,W942,1/7/21,0.706512,0.000007,,,,,W745,12/12/2018,,,,0.474,0.0079470,,,,,,,,,0.05804,0.58772,,986,8/3/2021,-0.269,0.02051,,,,,,,,,,,,317036.94,1279.95,6334.61,23.00,0.19,7.64,-5.90,46.49,50.45,-3.96,72.89,
CuCap,MM9,228.9,,,W688,8/21/18,,0.70666,0.000006,,,,,,,,,,W836,7/15/2019,,,,0.270,0.0089800,W816,6/7/19,0.2868757,0.00690858,,,,,0.08939,0.55861,,953,2/24/2021,-0.839,0.02234,,957,3/18/21,12/29/99,12/30/99,,,,,,,296959.28,1408.47,45902.75,530.81,6.55,0.13,-3.65,35.16,22.73,12.43,37.13,137.56
CuCap,MM10,289.9,,,W819,6/7/19,,0.70665,0.000006,,W942,1/7/21,0.706658,0.000006,,,,,W745,12/12/18,,,,0.415,0.0074950,,,,,,,,,0.04999,0.59778,,,,,,,,,,,,,,,,,405064.09,730.78,3612.59,30.05,0.20,6.43,-5.59,30.88,31.54,-0.66,31.81,
CuCap,MM11,284.4,,,W744,12/11/18,,0.70645,0.000006,,,,,,,,,,W887,3/16/2020,,,,0.411,0.0083180,,,,,,,,,0.05309,0.59782,,986,8/3/2021,-0.803,0.02314,,,,,,,,,,,,401750.89,929.87,3821.77,63.52,0.04,5.99,-4.17,,31.84,,,
