Group,Sample ID,Sample Name,Height,Through Rad Sr Columns,Through Stable Sr Columns,rsWheel Number,rsDate,rsSample mass for analysis (600 ng Sr),87/86Sr,rsInternal Precision,,rsRep 1 Wheel #,rsRep 1 date,rsRep 1 87/86Sr,rsRep 1 internal precision,rsRep 2 Wheel #,rsRep 2 date,rsRep 2 87/86Sr,rsRep 2 internal precision,,ssSample mass for analysis,ssSpike mass for analysis,,ssWheel Number,ssDate,Stable Sr,ssInternal Precision,,ssRep 1 Wheel #,ssRep 1 date,ssrep 1 value,ssrep 1 internal precision,ssRep 2 Wheel #,ssRep 2 date,srsRep 2 88/86,ssRep 2 internal precision,,CaSample mass for analysis (g) ,Ca spike mass (g),,Wheel #,Date run on TIMS,44/40Ca,Internal Precision,,Rep 1 Wheel #,CaRep 1 date,CaRep 1 ,CaRep 1 internal precision,,Rep 2 Wheel #,CaRep 2 date,CaRep 2,CaRep 2 internal precision,,Sr mmol in rock,Ca mol in rock,Mg mol in rock,d13C,d18O,d26/24 Mg vs DSM 3,d7Li vs LSVEC,Mg (mol/mol Ca),Sr (mmol/mol Ca),Mn (mmol/mol Ca),Li (μmol/mol Ca)
PCsamples,PC1,,6,,,W968,5/12/21,,0.70930,0.000006,,,,,,,,,,,2.0087,0.60617,,W1021,1/24/22,0.3401100,0.0079900,,,,,,,,,,,0.12585,0.6044,,W1010,12/5/21,-0.981,0.02170,,,,,,,,,,,,0.710,2.10E+03,,-4.49,-3.5,,,,3.38E-04,,
PCsamples,PC2,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.95,-3.77,,,,#DIV/0!,,
PCsamples,PC3,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.24,-2.71,,,,#DIV/0!,,
PCsamples,PC4,,37.4,,,W968,5/12/21,,0.70715,0.000006,,,,,,,,,,,0.99151,0.6046,,W1021,1/24/22,0.2497900,0.0081400,,,,,,,,,,,0.0506,0.60908,,,,,,,,,,,,,,,,,1.484,5.30E+03,,-3.22,-3.19,,,,2.80E-04,,
PCsamples,PC5,,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.09,-3.08,,,,#DIV/0!,,
PCsamples,PC6,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.13,-2.82,,,,#DIV/0!,,
PCsamples,PC7,,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.07,-2.87,,,,#DIV/0!,,
PCsamples,PC8,,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.03,-2.54,,,,#DIV/0!,,
PCsamples,PC9,,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.64,-3.26,,,,#DIV/0!,,
PCsamples,PC10,,44.8,,,W968,5/12/21,,0.70744,0.000008,,,,,,,,,,,2.21914,0.64373,,W1023.1,1/24/2022,0.2815100,0.0066200,,,,,,,,,,,0.06362,0.60568,,W1010,12/5/21,-1.207,0.0191,,,,,,,,,,,,0.699,4.44E+03,,-1.43,-1.82,,,,1.58E-04,,
PCsamples,PC11,,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,-3.31,,,,#DIV/0!,,
PCsamples,PC12,,46.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.89,-0.91,,,,#DIV/0!,,
PCsamples,PC13,,48,,,W979,6/14/21,,0.70767,0.000007,,,,,,,,,,,1.72507,0.60966,,W1023.1,1/24/2022,0.4970600,0.0074000,,,,,,,,,,,0.05844,0.60547,,,,,,,,,,,,,,,,,0.903,4.87E+03,,-0.44,-1.83,,,,1.86E-04,,
